"d","G","ell","field","ind"
"3","3.A_{6}","0,2","z3, b5","0"
"3","3.A_{6}","5","z3","0"
"3","3.A_{7}","5","z3, b7","0"
"3","{\rm PSL}_{2}(7)","!7","Not implemented","0"
"4","A_{6}","2","","-1"
"4","2.A_{6}","0,5","","-1"
"4","A_{7}","2","b7","0"
"4","2.A_{7}","7","","-1"
"4","2.A_{7}","! 2,7","b7","0"
"4","4_2.{\rm PSL}_{3}(4)","3","i1, r7","0"
"4","2.{\rm PSU}_{4}(2)","0,5","z3","0"
"4","2.{\rm PSL}_{2}(7)","!7, 2","Not implemented","0"
"5","A_{6}","0,5","","1"
"5","A_{7}","7","","1"
"5","{\rm PSU}_{4}(2)","0,5","z3","0"
"5","{\rm M}_{11}","3","i2, b11","0"
"5","{\rm PSL}_{2}(11)","!11","Not implemented","0"
"6","3.A_{6}","0,5","z3","0"
"6","6.A_{6}","0,5","z3, r2","0"
"6","A_{7}","! 7","","1"
"6","2.A_{7}","3","r2","-1"
"6","3.A_{7}","! 3","z3","0"
"6","6.A_{7}","! 2,3","z3, r2","0"
"6","2.{\rm PSL}_{3}(4)","3","","1"
"6","6.{\rm PSL}_{3}(4)","! 2,3","z3","0"
"6","{\rm PSU}_{3}(3)","! 3","","-1"
"6","{\rm PSU}_{4}(2)","0,5","","1"
"6","3_1.{\rm PSU}_{4}(3)","2","z3","0"
"6","6_1.{\rm PSU}_{4}(3)","! 2,3","z3","0"
"6","2.{\rm M}_{12}","3","i2, i5, b11","0"
"6","3.{\rm M}_{22}","2","z3, b11","0"
"6","{\rm J}_2","2","b5","-1"
"6","2.{\rm J}_2","5","","-1"
"6","2.{\rm J}_2","! 2,5","b5","-1"
"6","{\rm PSL}_{2}(7)","!7","Not implemented","1"
"6","2.{\rm PSL}_{2}(7)","!2, 7","Not implemented","-1"
"6","2.{\rm PSL}_{2}(11)","!11, 2","Not implemented","0"
"6","{\rm PSL}_{2}(13)","2","Not implemented","-1"
"6","2.{\rm PSL}_{2}(13)","!2, 13","Not implemented","-1"
"7","A_{8}","! 2","","1"
"7","A_{9}","3","","1"
"7","{\rm PSU}_{3}(3)","0,7","","1"
"7","{\rm PSU}_{3}(3)","0,7","i1","0"
"7","{\rm PSp}_{6}(2)","! 2","","1"
"7","{\rm J}_1","11","b5, c19","1"
"7","{\rm PSL}_{2}(8)","!2","Not implemented","1"
"7","{\rm PSL}_{2}(7)","!2, 7","Not implemented","1"
"7","{\rm PSL}_{2}(13)","!2, 13","Not implemented","1"
"8","A_{6}","0,2","b5","1"
"8","A_{6}","5","","1"
"8","2.A_{6}","0","b5","-1"
"8","A_{7}","5","","1"
"8","2.A_{8}","! 2","","1"
"8","A_{9}","! 3","","1"
"8","2.A_{9}","! 2","","1"
"8","A_{10}","2","","-1"
"8","A_{10}","5","","1"
"8","2.A_{10}","5","r6, r21","1"
"8","4_1.{\rm PSL}_{3}(4)","5","i1","0"
"8","4_1.{\rm PSL}_{3}(4)","! 2,5","i1, b5","0"
"8","2.{\rm PSp}_{6}(2)","! 2","","1"
"8","2.{\rm O}_{8}^+(2)","! 2","","1"
"8","2.Sz(8)","5","c13","1"
"8","{\rm PSL}_{2}(8)","!3, 2","Not implemented","1"
"8","{\rm PSL}_{2}(7)","!3, 7","Not implemented","1"
"8","2.{\rm PSL}_{2}(7)","!3, 7, 2","Not implemented","-1"
"8","{\rm PSL}_{2}(17)","2","Not implemented","-1"
"8","2.{\rm PSL}_{2}(17)","!2, 17","Not implemented","-1"
"9","A_{6}","0","","1"
"9","3.A_{6}","0, 2","z3","0"
"9","3.A_{7}","7","z3","0"
"9","A_{10}","! 2,5","","1"
"9","A_{11}","11","","1"
"9","{\rm M}_{11}","11","","1"
"9","3.{\rm J}_3","2","z3, b17, b19","0"
"9","{\rm PSL}_{2}(8)","!7, 2","Not implemented","1"
"9","{\rm PSL}_{2}(17)","!2, 17","Not implemented","1"
"9","{\rm PSL}_{2}(19)","!19","Not implemented","0"
"10","A_{6}","0,5","","1"
"10","2.A_{6}","0,5","r2","-1"
"10","A_{7}","7","","1"
"10","A_{7}","! 2,7","b7","0"
"10","A_{11}","! 11","","1"
"10","A_{12}","2,3","","1"
"10","2.{\rm PSL}_{3}(4)","7","","1"
"10","2.{\rm PSL}_{3}(4)","! 2,7","b7","0"
"10","{\rm PSU}_{4}(2)","0,5","z3","0"
"10","{\rm PSU}_{5}(2)","! 2","","-1"
"10","{\rm M}_{11}","! 11","","1"
"10","{\rm M}_{11}","! 2","i2","0"
"10","{\rm M}_{12}","2, 3","","1"
"10","2.{\rm M}_{12}","! 2","i2","0"
"10","{\rm M}_{22}","2","b7","0"
"10","2.{\rm M}_{22}","7","","1"
"10","2.{\rm M}_{22}","! 2,7","b7","0"
"10","{\rm PSL}_{2}(11)","!11","Not implemented","1"
"10","2.{\rm PSL}_{2}(11)","!2, 11","Not implemented","-1"
"10","2.{\rm PSL}_{2}(19)","!19, 2","Not implemented","0"
"11","A_{12}","! 2,3","","1"
"11","A_{13}","13","","1"
"11","{\rm PSL}_{3}(3)","13","","1"
"11","{\rm PSU}_{5}(2)","! 2,3","z3","0"
"11","{\rm M}_{11}","! 2,3","","1"
"11","{\rm M}_{12}","! 2,3","","1"
"11","{\rm M}_{23}","2","b7, i15, b23","0"
"11","{\rm M}_{24}","2","b7, i15, b23","0"
"11","{\rm PSL}_{2}(11)","!2, 3, 11","Not implemented","1"
"11","{\rm PSL}_{2}(23)","!23","Not implemented","0"
"12","6.A_{6}","0","z3, b5","0"
"12","6.A_{7}","5","z3, b7","0"
"12","A_{13}","! 13","","1"
"12","{\rm PSL}_{3}(3)","0,2","","1"
"12","12_2.{\rm PSL}_{3}(4)","7","z12, b5","0"
"12","{\rm PSU}_{3}(4)","! 2","","-1"
"12","{\rm PSp}_{4}(5)","2","b5","-1"
"12","2.{\rm PSp}_{4}(5)","! 2,5","b5","-1"
"12","2.G_{2}(4)","! 2","","-1"
"12","2.{\rm M}_{12}","! 2,3","","1"
"12","2.{\rm Suz}","3","","-1"
"12","3.{\rm Suz}","2","z3","0"
"12","6.{\rm Suz}","! 2,3","z3","0"
"12","A_{14}","2, 7","","1"
"12","{\rm PSL}_{2}(25)","2","Not implemented","-1"
"12","2.{\rm PSL}_{2}(25)","!2, 5","Not implemented","-1"
"12","{\rm PSL}_{2}(11)","!5, 11","Not implemented","1"
"12","2.{\rm PSL}_{2}(11)","!5, 11, 2","Not implemented","-1"
"12","{\rm PSL}_{2}(13)","!13","Not implemented","1"
"12","2.{\rm PSL}_{2}(13)","!7, 13","Not implemented","-1"
"12","2.{\rm PSL}_{2}(23)","!23, 2","Not implemented","0"
"13","A_{7}","3,5","","1"
"13","A_{8}","3,5","","1"
"13","{\rm PSL}_{3}(3)","0,13","","1"
"13","{\rm PSU}_{3}(4)","! 2,5","z5","-1"
"13","{\rm PSp}_{4}(5)","! 2,5","b5","1"
"13","{\rm PSp}_{6}(3)","! 3","z3","0"
"13","{\rm J}_2","3","b5","1"
"13","A_{14}","!2, 7","","1"
"13","A_{15}","3, 5","","1"
"13","{\rm PSL}_{2}(27)","!3","Not implemented","0"
"13","{\rm PSL}_{2}(25)","!2, 5","Not implemented","1"
"13","{\rm PSL}_{2}(13)","!2, 7, 13","Not implemented","1"
"14","A_{7}","! 3,5","","1"
"14","2.A_{7}","! 2,3","r2","-1"
"14","A_{8}","0,7","","1"
"14","{\rm PSU}_{3}(3)","! 3","","1"
"14","{\rm PSp}_{6}(2)","3","","1"
"14","2.{\rm PSp}_{6}(3)","! 2,3","z3","0"
"14","Sz(8)","! 2","i1","0"
"14","G_{2}(3)","! 3","","1"
"14","{\rm J}_1","11","b5, c19","1"
"14","{\rm J}_2","5","","1"
"14","{\rm J}_2","! 3,5","b5","1"
"14","2.{\rm J}_2","! 2","","-1"
"14","A_{15}","!3, 5","","1"
"14","A_{16}","2","","1"
"14","2.{\rm PSL}_{2}(27)","!3, 2","Not implemented","0"
"14","{\rm PSL}_{2}(13)","!3, 13","Not implemented","1"
"14","2.{\rm PSL}_{2}(13)","!2, 13","Not implemented","-1"
"14","{\rm PSL}_{2}(29)","2","Not implemented","-1"
"14","2.{\rm PSL}_{2}(29)","!2, 29","Not implemented","-1"
"15","3.A_{6}","0,5","z3","0"
"15","A_{7}","! 2,7","","1"
"15","3.A_{7}","! 3","z3","0"
"15","{\rm PSL}_{3}(4)","3","","1"
"15","3.{\rm PSL}_{3}(4)","! 2,3","z3","0"
"15","{\rm PSU}_{4}(2)","0,5","","1"
"15","3_1.{\rm PSU}_{4}(3)","! 3","z3","0"
"15","{\rm PSp}_{6}(2)","! 2,3","","1"
"15","{\rm M}_{12}","3","b11","0"
"15","3.{\rm M}_{22}","2","z3, b11","0"
"15","A_{16}","!2","","1"
"15","A_{17}","17","","1"
"15","{\rm PSL}_{2}(16)","!2","Not implemented","1"
"15","{\rm PSL}_{2}(29)","!2, 29","Not implemented","1"
"15","{\rm PSL}_{2}(31)","!31","Not implemented","0"
"16","2.A_{7}","7","","-1"
"16","2.A_{8}","7","","-1"
"16","A_{10}","2","","1"
"16","2.A_{10}","! 2,5","","1"
"16","A_{11}","2","b11","0"
"16","2.A_{11}","11","","1"
"16","2.A_{11}","! 2,11","b11","0"
"16","A_{12}","2","z3","0"
"16","2.A_{12}","3","i2, i5, r7, b11","0"
"16","{\rm PSL}_{3}(3)","0,2","d13","0"
"16","{\rm PSL}_{3}(3)","13","","1"
"16","4_2.{\rm PSL}_{3}(4)","3","i1, r7","0"
"16","2.Sz(8)","13","y7","1"
"16","{\rm M}_{11}","11","","1"
"16","{\rm M}_{11}","! 3,11","b11","-1"
"16","{\rm M}_{12}","11","","1"
"16","{\rm M}_{12}","! 3,11","b11","0"
"16","4.{\rm M}_{22}","7","i1, r11","0"
"16","A_{17}","!17","","1"
"16","A_{18}","2, 3","","1"
"16","{\rm PSL}_{2}(16)","!17, 2","Not implemented","1"
"16","{\rm PSL}_{2}(17)","!17","Not implemented","1"
"16","2.{\rm PSL}_{2}(17)","!3, 17","Not implemented","-1"
"16","2.{\rm PSL}_{2}(31)","!31, 2","Not implemented","0"
"17","A_{18}","!2, 3","","1"
"17","A_{19}","19","","1"
"17","{\rm PSL}_{2}(16)","!2","Not implemented","1"
"17","{\rm PSL}_{2}(17)","!2, 3, 17","Not implemented","1"
"18","3.A_{7}","5","z3, b7","0"
"18","{\rm PSp}_{4}(4)","! 2","","1"
"18","{\rm J}_3","3","b5","1"
"18","3.{\rm J}_3","5","z3","0"
"18","3.{\rm J}_3","! 3,5","z3, b5","0"
"18","A_{19}","!19","","1"
"18","A_{20}","2, 5","","1"
"18","{\rm PSL}_{2}(17)","!2, 17","Not implemented","1"
"18","2.{\rm PSL}_{2}(17)","!2, 17","Not implemented","-1"
"18","{\rm PSL}_{2}(19)","!19","Not implemented","1"
"18","2.{\rm PSL}_{2}(19)","!2, 19","Not implemented","-1"
"18","{\rm PSL}_{2}(37)","2","Not implemented","-1"
"18","2.{\rm PSL}_{2}(37)","!2, 37","Not implemented","-1"
"19","A_{8}","7","","1"
"19","A_{9}","7","","1"
"19","{\rm PSL}_{3}(4)","3, 7","","1"
"19","A_{20}","!2, 5","","1"
"19","A_{21}","3, 7","","1"
"19","{\rm PSL}_{2}(19)","!2, 5, 19","Not implemented","1"
"19","{\rm PSL}_{2}(37)","!2, 37","Not implemented","1"
"20","A_{7}","2","","-1"
"20","2.A_{7}","! 2,3","","-1"
"20","A_{8}","0,5","","1"
"20","A_{9}","2","i15","-1"
"20","{\rm PSL}_{3}(4)","0,5","","1"
"20","4_2.{\rm PSL}_{3}(4)","! 2,3","i1","0"
"20","{\rm PSU}_{3}(5)","! 5","","-1"
"20","{\rm PSU}_{4}(2)","0,5","","1"
"20","2.{\rm PSU}_{4}(2)","0,5","","-1"
"20","2.{\rm PSU}_{4}(2)","0,5","z3","0"
"20","{\rm PSU}_{4}(3)","2","","1"
"20","2.{\rm PSU}_{4}(3)","! 2,3","","-1"
"20","4.{\rm PSU}_{4}(3)","! 2,3","i1","0"
"20","{\rm M}_{22}","11","","1"
"20","{\rm J}_1","2","","1"
"20","{\rm HS}","2","","-1"
"20","A_{21}","!3, 7","","1"
"20","A_{22}","2, 11","","1"
"20","{\rm PSL}_{2}(19)","!3, 19","Not implemented","1"
"20","2.{\rm PSL}_{2}(19)","!3, 19, 2","Not implemented","-1"
"20","{\rm PSL}_{2}(41)","2","Not implemented","-1"
"20","2.{\rm PSL}_{2}(41)","!2, 41","Not implemented","-1"
"21","A_{7}","0,7","","1"
"21","3.A_{7}","! 2,3","z3","0"
"21","A_{8}","0,7","i15","0"
"21","A_{8}","! 2","","1"
"21","A_{9}","0,7","i15","0"
"21","A_{9}","3,5","","1"
"21","3.{\rm PSL}_{3}(4)","! 2,3","z3","0"
"21","{\rm PSU}_{3}(3)","0,7","","1"
"21","{\rm PSU}_{3}(3)","0,7","i1","0"
"21","{\rm PSU}_{3}(5)","! 2,5","","1"
"21","3.{\rm PSU}_{3}(5)","! 3,5","z3","0"
"21","{\rm PSU}_{4}(3)","! 2,3","","1"
"21","3_1.{\rm PSU}_{4}(3)","! 2,3","z3","0"
"21","{\rm PSU}_{6}(2)","3","","1"
"21","3.{\rm PSU}_{6}(2)","! 2,3","z3","0"
"21","{\rm PSp}_{6}(2)","! 2","","1"
"21","{\rm M}_{22}","! 2,11","","1"
"21","3.{\rm M}_{22}","! 2,3","z3","0"
"21","{\rm M}_{23}","23","","1"
"21","{\rm J}_2","5","","1"
"21","{\rm J}_2","! 2,5","b5","1"
"21","{\rm HS}","5","","1"
"21","{\rm McL}","3,5","","1"
"21","A_{22}","!2, 11","","1"
"21","A_{23}","23","","1"
"21","{\rm PSL}_{2}(41)","!2, 41","Not implemented","1"
"21","{\rm PSL}_{2}(43)","!43","Not implemented","0"
"22","2.{\rm PSL}_{3}(4)","3","b5","1"
"22","{\rm PSU}_{6}(2)","! 2,3","","1"
"22","{\rm M}_{23}","! 2,23","","1"
"22","{\rm M}_{24}","3","","1"
"22","{\rm J}_1","19","b5","1"
"22","{\rm HS}","! 2,5","","1"
"22","{\rm McL}","! 3,5","","1"
"22","{\rm Co}_3","2","","-1"
"22","{\rm Co}_3","3","","1"
"22","{\rm Co}_2","2","","1"
"22","A_{23}","!23","","1"
"22","A_{24}","2, 3","","1"
"22","{\rm PSL}_{2}(23)","!23","Not implemented","1"
"22","2.{\rm PSL}_{2}(23)","!2, 23","Not implemented","-1"
"22","2.{\rm PSL}_{2}(43)","!43, 2","Not implemented","0"
"23","{\rm PSU}_{4}(2)","5","","1"
"23","{\rm M}_{24}","! 2,3","","1"
"23","{\rm Co}_3","! 2,3","","1"
"23","{\rm Co}_2","! 2","","1"
"23","A_{24}","!2, 3","","1"
"23","A_{25}","5","","1"
"23","{\rm PSL}_{2}(23)","!2, 3, 23","Not implemented","1"
"23","{\rm PSL}_{2}(47)","!47","Not implemented","0"
"24","3.A_{7}","0,2","z3, b7","0"
"24","6.A_{7}","7","z3","0"
"24","6.A_{7}","0,5","z3, b7","0"
"24","2.A_{8}","! 2,7","b7","0"
"24","4_1.{\rm PSL}_{3}(4)","3","i1, r7","0"
"24","12_1.{\rm PSL}_{3}(4)","7","z12","0"
"24","12_1.{\rm PSL}_{3}(4)","0,5","z12, b7","0"
"24","{\rm PSU}_{4}(2)","0","","1"
"24","{\rm PSp}_{4}(7)","2","b7","0"
"24","2.{\rm PSp}_{4}(7)","! 2,7","b7","0"
"24","2.Sz(8)","13","y7","1"
"24","{\rm M}_{11}","3","","1"
"24","12.{\rm M}_{22}","11","z24, b7","-1"
"24","{\rm Co}_1","2","","1"
"24","2.{\rm Co}_1","! 2","","1"
"24","A_{25}","!5","","1"
"24","A_{26}","2, 13","","1"
"24","{\rm PSL}_{2}(25)","!5","Not implemented","1"
"24","2.{\rm PSL}_{2}(25)","!13, 5","Not implemented","-1"
"24","{\rm PSL}_{2}(49)","2","Not implemented","-1"
"24","2.{\rm PSL}_{2}(49)","!2, 7","Not implemented","-1"
"24","{\rm PSL}_{2}(23)","!11, 23","Not implemented","1"
"24","2.{\rm PSL}_{2}(23)","!11, 23, 2","Not implemented","-1"
"24","2.{\rm PSL}_{2}(47)","!47, 2","Not implemented","0"
"25","{\rm PSp}_{4}(7)","! 2,7","b7","0"
"25","{}^3D_4(2)","3","","1"
"25","A_{26}","!2, 13","","1"
"25","A_{27}","3","","1"
"25","{\rm PSL}_{2}(25)","!2, 13, 5","Not implemented","1"
"25","{\rm PSL}_{2}(49)","!2, 7","Not implemented","1"
"26","A_{9}","2","","1"
"26","A_{10}","2","","1"
"26","{\rm PSL}_{3}(3)","0,13","i2","0"
"26","{\rm PSL}_{3}(3)","! 3","","1"
"26","2.{\rm PSL}_{3}(4)","7","","1"
"26","{\rm PSL}_{4}(3)","! 3","","1"
"26","{\rm PSU}_{3}(3)","7","","1"
"26","{\rm PSp}_{6}(2)","7","","1"
"26","{}^3D_{4}(2)","! 2,3","","1"
"26","{}^2F_4(2)'","2","","1"
"26","{}^2F_4(2)'","! 2","i2","0"
"26","A_{27}","!3","","1"
"26","A_{28}","2, 7","","1"
"26","{\rm PSL}_{2}(27)","!3","Not implemented","1"
"26","2.{\rm PSL}_{2}(27)","!2, 3","Not implemented","-1"
"26","{\rm PSL}_{2}(25)","!5","Not implemented","1"
"26","2.{\rm PSL}_{2}(25)","!2, 5","Not implemented","-1"
"26","{\rm PSL}_{2}(53)","2","Not implemented","-1"
"26","2.{\rm PSL}_{2}(53)","!2, 53","Not implemented","-1"
"27","A_{9}","! 2,7","","1"
"27","{\rm PSL}_{3}(3)","0","","1"
"27","{\rm PSU}_{3}(3)","0","","1"
"27","{\rm PSp}_{6}(2)","! 2,7","","1"
"27","3.{\rm O}_{7}(3)","! 3","z3","0"
"27","3.G_{2}(3)","! 3","z3","0"
"27","{}^2F_4(2)'","! 2","i1","0"
"27","{\rm J}_1","11","b5, c19","1"
"27","3.{\rm Fi}_{22}","2","z3, b11","0"
"27","A_{28}","!2, 7","","1"
"27","A_{29}","29","","1"
"27","{\rm PSL}_{2}(27)","!2, 7, 3","Not implemented","1"
"27","{\rm PSL}_{2}(53)","!2, 53","Not implemented","1"
"28","A_{8}","! 2,5","","1"
"28","A_{9}","! 2,3","","1"
"28","A_{10}","5","","1"
"28","2.{\rm PSL}_{3}(4)","5","","1"
"28","2.{\rm PSL}_{3}(4)","0,7","b5","1"
"28","4_2.{\rm PSL}_{3}(4)","5","i1","0"
"28","4_2.{\rm PSL}_{3}(4)","! 2,5","i1, b5","0"
"28","{\rm PSU}_{3}(3)","0,7","i1","0"
"28","{\rm PSU}_{3}(5)","! 5","","1"
"28","{\rm O}_{8}^+(2)","! 2","","1"
"28","2.{\rm M}_{22}","5","i1, r11","0"
"28","2.{\rm HS}","5","i1, r11","0"
"28","{\rm Ru}","2","","1"
"28","2.{\rm Ru}","! 2","i1","0"
"28","A_{29}","!29","","1"
"28","A_{30}","2, 3, 5","","1"
"28","{\rm PSL}_{2}(27)","!13, 3","Not implemented","1"
"28","2.{\rm PSL}_{2}(27)","!13, 3, 2","Not implemented","-1"
"28","{\rm PSL}_{2}(29)","!29","Not implemented","1"
"28","2.{\rm PSL}_{2}(29)","!29","Not implemented","-1"
"29","{\rm PSL}_{3}(5)","31","","1"
"29","{\rm PSL}_{5}(2)","31","","1"
"29","{\rm M}_{12}","11","","1"
"29","A_{30}","!2, 3, 5","","1"
"29","A_{31}","31","","1"
"29","{\rm PSL}_{2}(29)","!2, 3, 5, 29","Not implemented","1"
"29","{\rm PSL}_{2}(59)","!59","Not implemented","0"
"30","{\rm PSL}_{3}(5)","! 5,31","","1"
"30","{\rm PSL}_{5}(2)","! 2,31","","1"
"30","{\rm PSU}_{4}(2)","0,5","","1"
"30","{\rm PSU}_{4}(2)","0,5","z3","0"
"30","A_{31}","!31","","1"
"30","A_{32}","2","","1"
"30","{\rm PSL}_{2}(29)","!7, 29","Not implemented","1"
"30","2.{\rm PSL}_{2}(29)","!2, 29","Not implemented","-1"
"30","{\rm PSL}_{2}(31)","!31","Not implemented","1"
"30","2.{\rm PSL}_{2}(31)","!2, 31","Not implemented","-1"
"30","2.{\rm PSL}_{2}(59)","!59, 2","Not implemented","0"
"30","{\rm PSL}_{2}(61)","2","Not implemented","-1"
"30","2.{\rm PSL}_{2}(61)","!2, 61","Not implemented","-1"
"31","{\rm PSL}_{3}(5)","! 2,5","","1"
"31","{\rm PSL}_{3}(5)","! 2,5","i1","-1"
"31","{\rm J}_1","7","c19","1"
"31","A_{32}","!2","","1"
"31","A_{33}","3, 11","","1"
"31","{\rm PSL}_{2}(32)","!2","Not implemented","1"
"31","{\rm PSL}_{2}(31)","!2, 31","Not implemented","1"
"31","{\rm PSL}_{2}(61)","!2, 61","Not implemented","1"
"32","2.A_{8}","5","z3, b7","0"
"32","2.A_{12}","! 2,3","","-1"
"32","A_{13}","2","b13","1"
"32","2.A_{13}","13","","-1"
"32","2.A_{13}","! 2,13","b13","-1"
"32","2.A_{14}","7","r3, r6, r10, b5, b13, b33","-1"
"32","{\rm PSU}_{3}(3)","0,2","b7","0"
"32","2.{\rm PSU}_{4}(2)","5","z3","0"
"32","2.{\rm M}_{12}","! 2,3","","-1"
"32","A_{33}","!3, 11","","1"
"32","A_{34}","2, 17","","1"
"32","{\rm PSL}_{2}(32)","!3, 11, 2","Not implemented","1"
"32","{\rm PSL}_{2}(31)","!31","Not implemented","1"
"32","2.{\rm PSL}_{2}(31)","!31, 2","Not implemented","-1"
"33","{\rm PSp}_{4}(4)","5","","1"
"33","{\rm O}_{8}^-(2)","7","","1"
"33","A_{34}","!2, 17","","1"
"33","A_{35}","5, 7","","1"
"33","{\rm PSL}_{2}(32)","!31, 2","Not implemented","1"
"33","{\rm PSL}_{2}(67)","!67","Not implemented","0"
"34","A_{9}","5","","1"
"34","A_{10}","3,5","","1"
"34","A_{11}","3","","1"
"34","{\rm PSU}_{4}(3)","2","","-1"
"34","{\rm PSp}_{4}(4)","! 2,5","","1"
"34","{\rm PSp}_{6}(2)","3","","1"
"34","{\rm O}_{8}^-(2)","! 2,7","","1"
"34","{\rm M}_{12}","3","","1"
"34","{\rm M}_{22}","2","","-1"
"34","{\rm J}_1","19","b5","1"
"34","A_{35}","!5, 7","","1"
"34","A_{36}","2, 3","","1"
"34","2.{\rm PSL}_{2}(67)","!67, 2","Not implemented","0"
"35","A_{7}","! 2,3","","1"
"35","A_{8}","! 2","","1"
"35","A_{9}","! 2","","1"
"35","A_{10}","! 2,3","","1"
"35","A_{10}","5","r21","1"
"35","{\rm PSL}_{3}(4)","! 2,3","","1"
"35","{\rm PSU}_{4}(3)","! 2,3","","1"
"35","{\rm PSp}_{6}(2)","! 2","","1"
"35","{\rm PSp}_{8}(2)","! 2","","1"
"35","{\rm O}_{8}^+(2)","! 2","","1"
"35","Sz(8)","13","","1"
"35","Sz(8)","! 2,13","c13","1"
"35","A_{36}","!2, 3","","1"
"35","A_{37}","37","","1"
"35","{\rm PSL}_{2}(71)","!71","Not implemented","0"
"36","2.A_{7}","0,3","","-1"
"36","6.A_{7}","0","z3","0"
"36","A_{10}","! 2,5","","1"
"36","A_{11}","11","","1"
"36","2.{\rm PSL}_{3}(4)","! 2,7","","1"
"36","4_2.{\rm PSL}_{3}(4)","! 2","i1","0"
